stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening F:\School\Introduction_to_Programming\Final_Project\G37_FInal_Project\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   1.33923] added dtor for sub_bitmap 000000000d751980, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33924] added dtor for sub_bitmap 000000000d752700, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33925] added dtor for sub_bitmap 000000000d751e90, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33926] added dtor for sub_bitmap 000000000d751b30, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33927] added dtor for sub_bitmap 000000000d751ce0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33928] added dtor for sub_bitmap 000000000d752040, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33930] added dtor for sub_bitmap 000000000d7521f0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33931] added dtor for sub_bitmap 000000000d7523a0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33932] added dtor for sub_bitmap 000000000d752a60, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33933] added dtor for sub_bitmap 000000000d753120, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33934] added dtor for sub_bitmap 000000000d752550, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33936] added dtor for sub_bitmap 000000000d752c10, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33937] added dtor for sub_bitmap 000000000d7532d0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33942] added dtor for sub_bitmap 000000000d777650, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33944] added dtor for sub_bitmap 000000000d776060, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33945] added dtor for sub_bitmap 000000000d774a70, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33946] added dtor for sub_bitmap 000000000d774c20, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33948] added dtor for sub_bitmap 000000000d774dd0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33949] added dtor for sub_bitmap 000000000d775130, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33950] added dtor for sub_bitmap 000000000d7788e0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33951] added dtor for sub_bitmap 000000000d774f80, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33952] added dtor for sub_bitmap 000000000d7752e0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33954] added dtor for sub_bitmap 000000000d777b60, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33955] added dtor for sub_bitmap 000000000d7772f0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33956] added dtor for sub_bitmap 000000000d775490, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33958] added dtor for sub_bitmap 000000000d775640, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33959] added dtor for sub_bitmap 000000000d777800, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33960] added dtor for sub_bitmap 000000000d7757f0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33961] added dtor for sub_bitmap 000000000d775eb0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33962] added dtor for sub_bitmap 000000000d7779b0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33964] added dtor for sub_bitmap 000000000d775b50, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33965] added dtor for sub_bitmap 000000000d7759a0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33966] added dtor for sub_bitmap 000000000d7748c0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33967] added dtor for sub_bitmap 000000000d7774a0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33968] added dtor for sub_bitmap 000000000d779810, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33970] added dtor for sub_bitmap 000000000d779d20, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33971] added dtor for sub_bitmap 000000000d778a90, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33972] added dtor for sub_bitmap 000000000d7763c0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33973] added dtor for sub_bitmap 000000000d779b70, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33974] added dtor for sub_bitmap 000000000d778730, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33975] added dtor for sub_bitmap 000000000d777d10, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33977] added dtor for sub_bitmap 000000000d776570, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33978] added dtor for sub_bitmap 000000000d778c40, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33979] added dtor for sub_bitmap 000000000d7783d0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33980] added dtor for sub_bitmap 000000000d777ec0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33981] added dtor for sub_bitmap 000000000d778070, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33984] added dtor for sub_bitmap 000000000d776210, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33985] added dtor for sub_bitmap 000000000d778fa0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33986] added dtor for sub_bitmap 000000000d779660, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33987] added dtor for sub_bitmap 000000000d778df0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33988] added dtor for sub_bitmap 000000000d778220, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33990] added dtor for sub_bitmap 000000000d775d00, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33991] added dtor for sub_bitmap 000000000d77a230, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33992] added dtor for sub_bitmap 000000000d778580, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33993] added dtor for sub_bitmap 000000000d779150, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33994] added dtor for sub_bitmap 000000000d779300, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33996] added dtor for sub_bitmap 000000000d7794b0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33997] added dtor for sub_bitmap 000000000d77a3e0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33998] added dtor for sub_bitmap 000000000d7799c0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.33999] added dtor for sub_bitmap 000000000d779ed0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34000] added dtor for sub_bitmap 000000000d77a080, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34001] added dtor for sub_bitmap 000000000d77a590, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34003] added dtor for sub_bitmap 000000000d77a740, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34004] added dtor for sub_bitmap 000000000d7768d0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34005] added dtor for sub_bitmap 000000000d776a80, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34006] added dtor for sub_bitmap 000000000d776c30, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34007] added dtor for sub_bitmap 000000000d776720, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34009] added dtor for sub_bitmap 000000000d77a8f0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34010] added dtor for sub_bitmap 000000000d77aaa0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34011] added dtor for sub_bitmap 000000000d77ac50, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34012] added dtor for sub_bitmap 000000000d77ae00, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34013] added dtor for sub_bitmap 000000000d776de0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34014] added dtor for sub_bitmap 000000000d77afb0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34016] added dtor for sub_bitmap 000000000d776f90, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34017] added dtor for sub_bitmap 000000000d77b160, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34018] added dtor for sub_bitmap 000000000d777140, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34019] added dtor for sub_bitmap 000000000d77b310, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34021] added dtor for sub_bitmap 000000000d77e5b0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34022] added dtor for sub_bitmap 000000000d77db90, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34023] added dtor for sub_bitmap 000000000d77e760, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34024] added dtor for sub_bitmap 000000000d77eac0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34025] added dtor for sub_bitmap 000000000d77efd0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34027] added dtor for sub_bitmap 000000000d77d4d0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34028] added dtor for sub_bitmap 000000000d77cc60, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34029] added dtor for sub_bitmap 000000000d77bee0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34030] added dtor for sub_bitmap 000000000d77def0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34031] added dtor for sub_bitmap 000000000d77b9d0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34032] added dtor for sub_bitmap 000000000d77bd30, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34034] added dtor for sub_bitmap 000000000d77d830, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34035] added dtor for sub_bitmap 000000000d77b820, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34036] added dtor for sub_bitmap 000000000d77d680, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34037] added dtor for sub_bitmap 000000000d77bb80, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34038] added dtor for sub_bitmap 000000000d77f180, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34040] added dtor for sub_bitmap 000000000d77ec70, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34041] added dtor for sub_bitmap 000000000d77ce10, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34042] added dtor for sub_bitmap 000000000d77c750, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34043] added dtor for sub_bitmap 000000000d77dd40, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34044] added dtor for sub_bitmap 000000000d77f4e0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34046] added dtor for sub_bitmap 000000000d77c900, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34047] added dtor for sub_bitmap 000000000d77e910, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34048] added dtor for sub_bitmap 000000000d77c090, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34049] added dtor for sub_bitmap 000000000d77c240, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34050] added dtor for sub_bitmap 000000000d77e0a0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34051] added dtor for sub_bitmap 000000000d77ee20, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34053] added dtor for sub_bitmap 000000000d77f330, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34054] added dtor for sub_bitmap 000000000d77cab0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34055] added dtor for sub_bitmap 000000000d77cfc0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34056] added dtor for sub_bitmap 000000000d77c3f0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34057] added dtor for sub_bitmap 000000000d77c5a0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34058] added dtor for sub_bitmap 000000000d77d9e0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34060] added dtor for sub_bitmap 000000000d77d170, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34061] added dtor for sub_bitmap 000000000d77b4c0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34062] added dtor for sub_bitmap 000000000d77d320, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34063] added dtor for sub_bitmap 000000000d77e250, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34064] added dtor for sub_bitmap 000000000d77e400, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34066] added dtor for sub_bitmap 000000000d77f690, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34067] added dtor for sub_bitmap 000000000d77b670, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34068] added dtor for sub_bitmap 000000000d780410, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34069] added dtor for sub_bitmap 000000000d781f10, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34070] added dtor for sub_bitmap 000000000d77f840, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34072] added dtor for sub_bitmap 000000000d780e30, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34073] added dtor for sub_bitmap 000000000d781190, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34074] added dtor for sub_bitmap 000000000d781d60, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34075] added dtor for sub_bitmap 000000000d781850, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34076] added dtor for sub_bitmap 000000000d7805c0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34078] added dtor for sub_bitmap 000000000d77fd50, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34079] added dtor for sub_bitmap 000000000d77f9f0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34080] added dtor for sub_bitmap 000000000d77fba0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34081] added dtor for sub_bitmap 000000000d77ff00, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34082] added dtor for sub_bitmap 000000000d7800b0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34084] added dtor for sub_bitmap 000000000d780fe0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34085] added dtor for sub_bitmap 000000000d781a00, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34086] added dtor for sub_bitmap 000000000d780260, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34087] added dtor for sub_bitmap 000000000d780770, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34089] added dtor for sub_bitmap 000000000d780920, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34090] added dtor for sub_bitmap 000000000d780ad0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34091] added dtor for sub_bitmap 000000000d780c80, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34092] added dtor for sub_bitmap 000000000d781340, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34093] added dtor for sub_bitmap 000000000d7814f0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34095] added dtor for sub_bitmap 000000000d7816a0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34096] added dtor for sub_bitmap 000000000d781bb0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34097] added dtor for sub_bitmap 000000000d7860e0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34098] added dtor for sub_bitmap 000000000d783a10, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34099] added dtor for sub_bitmap 000000000d7840d0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34101] added dtor for sub_bitmap 000000000d785360, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34103] added dtor for sub_bitmap 000000000d783860, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34104] added dtor for sub_bitmap 000000000d784ca0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34105] added dtor for sub_bitmap 000000000d784e50, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34106] added dtor for sub_bitmap 000000000d783bc0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34107] added dtor for sub_bitmap 000000000d782270, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34109] added dtor for sub_bitmap 000000000d782420, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34110] added dtor for sub_bitmap 000000000d7825d0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34111] added dtor for sub_bitmap 000000000d782930, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34112] added dtor for sub_bitmap 000000000d7820c0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34114] added dtor for sub_bitmap 000000000d782ae0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34115] added dtor for sub_bitmap 000000000d782c90, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34116] added dtor for sub_bitmap 000000000d785a20, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34117] added dtor for sub_bitmap 000000000d7851b0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34118] added dtor for sub_bitmap 000000000d782e40, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34119] added dtor for sub_bitmap 000000000d782ff0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34121] added dtor for sub_bitmap 000000000d7856c0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34122] added dtor for sub_bitmap 000000000d7831a0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34123] added dtor for sub_bitmap 000000000d783d70, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34124] added dtor for sub_bitmap 000000000d785870, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34125] added dtor for sub_bitmap 000000000d783f20, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34127] added dtor for sub_bitmap 000000000d783500, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34128] added dtor for sub_bitmap 000000000d785510, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34129] added dtor for sub_bitmap 000000000d782780, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34130] added dtor for sub_bitmap 000000000d786e60, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34131] added dtor for sub_bitmap 000000000d785bd0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34133] added dtor for sub_bitmap 000000000d7865f0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34134] added dtor for sub_bitmap 000000000d785000, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34135] added dtor for sub_bitmap 000000000d783350, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34136] added dtor for sub_bitmap 000000000d784280, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34137] added dtor for sub_bitmap 000000000d785d80, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34139] added dtor for sub_bitmap 000000000d784430, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34140] added dtor for sub_bitmap 000000000d785f30, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34141] added dtor for sub_bitmap 000000000d7845e0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34142] added dtor for sub_bitmap 000000000d7836b0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34144] added dtor for sub_bitmap 000000000d784790, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34145] added dtor for sub_bitmap 000000000d786290, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34146] added dtor for sub_bitmap 000000000d786440, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34147] added dtor for sub_bitmap 000000000d784940, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34148] added dtor for sub_bitmap 000000000d784af0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34150] added dtor for sub_bitmap 000000000d7867a0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34151] added dtor for sub_bitmap 000000000d786950, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34152] added dtor for sub_bitmap 000000000d786b00, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34153] added dtor for sub_bitmap 000000000d786cb0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34154] added dtor for sub_bitmap 000000000d7690d0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34156] added dtor for sub_bitmap 000000000d768d70, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34157] added dtor for sub_bitmap 000000000d767420, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34158] added dtor for sub_bitmap 000000000d76a360, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34159] added dtor for sub_bitmap 000000000d76aa20, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34160] added dtor for sub_bitmap 000000000d769af0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34162] added dtor for sub_bitmap 000000000d7686b0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34163] added dtor for sub_bitmap 000000000d7670c0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34164] added dtor for sub_bitmap 000000000d76ad80, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34165] added dtor for sub_bitmap 000000000d768f20, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34167] added dtor for sub_bitmap 000000000d7681a0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34168] added dtor for sub_bitmap 000000000d769ca0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34169] added dtor for sub_bitmap 000000000d768860, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34170] added dtor for sub_bitmap 000000000d76af30, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34171] added dtor for sub_bitmap 000000000d769e50, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34173] added dtor for sub_bitmap 000000000d769280, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34174] added dtor for sub_bitmap 000000000d769940, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34175] added dtor for sub_bitmap 000000000d768a10, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34176] added dtor for sub_bitmap 000000000d769790, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34177] added dtor for sub_bitmap 000000000d7675d0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34179] added dtor for sub_bitmap 000000000d767780, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34180] added dtor for sub_bitmap 000000000d767930, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34181] added dtor for sub_bitmap 000000000d76a000, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34182] added dtor for sub_bitmap 000000000d76abd0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34183] added dtor for sub_bitmap 000000000d76b0e0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34185] added dtor for sub_bitmap 000000000d7695e0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34186] added dtor for sub_bitmap 000000000d76a1b0, func 00007ffdb9531bea
dtor     D               dtor.c:196  _al_register_destructor          [   1.34187] added dtor for sub_bitmap 000000000d767270, func 00007ffdb9531bea
